ID,Field 1,Common,4-letter,Field4,Field5,Field6,Field7
1400,"+","Unidentified Crow","UNCR",,"Corvus (sp)","CORSPE",
1401,,"Chihuahuan Raven","CHRA",,"Corvus cryptoleucus","CORCRY",
1402,,"Common Raven","CORA",,"Corvus corax","CORCOR",
1403,,"Elepaio","ELEP",,"Chasiempis sandwichensis","CHASAN",
1404,,"Sky Lark","SKLA",,"Alauda arvensis","ALAARV",
1405,,"Horned Lark","HOLA",,"Eremophila alpestris","EREALP",
1406,,"Purple Martin","PUMA",,"Progne subis","PROSUB",
1407,,"Cuban Martin","CUMA",,"Progne cryptoleuca","PROCRY",
1408,,"Caribbean Martin","CAMA",,"Progne dominicensis","PRODOM",
1409,,"Sinaloa Martin","SIMA",,"Progne sinaloae","PROSIN",
1410,,"Gray-breasted Martin","GYBM","**","Progne chalybea","PROCHA",
1411,,"Southern Martin","SOMA",,"Progne elegans","PROELE",
1412,,"Brown-chested Martin","BCMA",,"Progne tapera","PROTAP",
1413,,"Tree Swallow","TRES","*","Tachycineta bicolor","TACBIC",
1414,,"Mangrove Swallow","MANS","*","Tachycineta albilinea","TACALB",
1415,,"Golden Swallow","GOSW",,"Tachycineta euchrysea","TACEUC",
1416,,"Violet-green Swallow","VGSW",,"Tachycineta thalassina","TACTHA",
1417,,"Bahama Swallow","BAHS","*","Tachycineta cyaneoviridis","TACCYA",
1418,,"Blue-and-white Swallow","BAWS",,"Pygochelidon cyanoleuca","PYGCYA",
1419,,"Black-capped Swallow","BCSW",,"Notiochelidon pileata","NOTPIL",
1420,,"White-thighed Swallow","WTGS","**","Neochelidon tibialis","NEOTIB",
1421,,"Northern Rough-winged Swallow","NRWS",,"Stelgidopteryx serripennis","STESER",
1422,,"Southern Rough-winged Swallow","SRWS",,"Stelgidopteryx ruficollis","STERUF",
1423,,"Bank Swallow","BANS","*","Riparia riparia","RIPRIP",
1424,,"Cliff Swallow","CLSW",,"Petrochelidon pyrrhonota","PETPYR",
1425,,"Cave Swallow","CASW",,"Petrochelidon fulva","PETFUL",
1426,,"Barn Swallow","BARS","*","Hirundo rustica","HIRRUS",
1427,,"Common House-Martin","COHM",,"Delichon urbicum","DELURB",
1428,"+","Unidentified Swallow","UNSW",,"Hirundidae (gen, sp)","HIRGSP",
1429,,"Carolina Chickadee","CACH",,"Poecile carolinensis","POECAR",
1430,"+","Carolina X Black-c. Chickadee Hybrid","CBCC","**","Poecile caroli. x atrica.","POECAA",
1431,,"Black-capped Chickadee","BCCH",,"Poecile atricapillus","POEATR",
1432,,"Mountain Chickadee","MOCH",,"Poecile gambeli","POEGAM",
1433,,"Mexican Chickadee","MECH",,"Poecile sclateri","POESCL",
1434,,"Chestnut-backed Chickadee","CBCH",,"Poecile rufescens","POERUF",
1435,,"Boreal Chickadee","BOCH",,"Poecile hudsonica","POEHUD",
1436,,"Gray-headed Chickadee","GHCH",,"Poecile cincta","POECIN",
1437,"+","Unidentified Poecile Chickadee","UPCH",,"Poecile (sp)","POESPE",
1438,,"Bridled Titmouse","BRTI",,"Baeolophus wollweberi","BAEWOL",
1439,,"Oak Titmouse","OATI",,"Baeolophus inornatus","BAEINO",
1440,,"Juniper Titmouse","JUTI",,"Baeolophus ridgwayi","BAERID",
1441,,"Tufted Titmouse","TUTI",,"Baeolophus bicolor","BAEBIC",
1442,,"Black-crested Titmouse","BCTI",,"Baeolophus atricristatus","BAEATR",
1443,,"Verdin","VERD",,"Auriparus flaviceps","AURFLA",
1444,,"Bushtit","BUSH",,"Psaltriparus minimus","PSAMIN",
1445,,"Red-breasted Nuthatch","RBNU",,"Sitta canadensis","SITCAN",
1446,,"White-breasted Nuthatch","WBNU",,"Sitta carolinensis","SITCAR",
1447,,"Pygmy Nuthatch","PYNU",,"Sitta pygmaea","SITPYG",
1448,,"Brown-headed Nuthatch","BHNU",,"Sitta pusilla","SITPUS",
1449,,"Brown Creeper","BRCR",,"Certhia americana","CERAME",
1450,,"Black-capped Donacobius","BCDO",,"Donacobius atricapilla","DONATR",
1451,,"White-headed Wren","WHWR",,"Campylorhynchus albobrunneus","CAMALB",
1452,,"Band-backed Wren","BABW","**","Campylorhynchus zonatus","CAMZON",
1453,,"Gray-barred Wren","GBWR",,"Campylorhynchus megalopterus","CAMMEG",
1454,,"Giant Wren","GIWR",,"Campylorhynchus chiapensis","CAMCHI",
1455,,"Rufous-naped Wren","RNAW","*","Campylorhynchus rufinucha","CAMRUN","*"
1456,,"Spotted Wren","SPWR",,"Campylorhynchus gularis","CAMGUL",
1457,,"Boucard's Wren","BOWR",,"Campylorhynchus jocosus","CAMJOC",
1458,,"Yucatan Wren","YUWR",,"Campylorhynchus yucatanicus","CAMYUC",
1459,,"Cactus Wren","CACW","*","Campylorhynchus brunneicapillus","CAMBRU",
1460,,"Rock Wren","ROWR",,"Salpinctes obsoletus","SALOBS",
1461,,"Canyon Wren","CANW","*","Catherpes mexicanus","CAPMEX","**"
1462,,"Sumichrast's Wren","SUWR",,"Hylorchilus sumichrasti","HYLSUM",
1463,,"Nava's Wren","NAWR",,"Hylorchilus navai","HYLNAV",
1464,,"Sooty-headed Wren","SHWR",,"Thryothorus spadix","THRSPA",
1465,,"Black-throated Wren","BTWR",,"Thryothorus atrogularis","THRATR",
1466,,"Black-bellied Wren","BBEW","*","Thryothorus fasciatoventris","THRFAS",
1467,,"Bay Wren","BAYW","*","Thryothorus nigricapillus","THRNIG",
1468,,"Riverside Wren","RIWR",,"Thryothorus semibadius","THRSEM",
1469,,"Stripe-throated Wren","STWR",,"Thryothorus leucopogon","THRLEP","*"
1470,,"Stripe-breasted Wren","SIBW","**","Thryothorus thoracicus","THRTHO",
1471,,"Rufous-breasted Wren","RBSW","**","Thryothorus rutilus","THRRUT",
1472,,"Spot-breasted Wren","SBSW","**","Thryothorus maculipectus","THRMAC",
1473,,"Rufous-and-white Wren","RAWW",,"Thryothorus rufalbus","THRRUL","*"
1474,,"Sinaloa Wren","SIWR",,"Thryothorus sinaloa","THRSIN",
1475,,"Banded Wren","BANW","*","Thryothorus pleurostictus","THRPLE",
1476,,"Carolina Wren","CARW","*","Thryothorus ludovicianus","THRLUD",
1477,,"Happy Wren","HAWR",,"Thryothorus felix","THRFEL",
1478,,"Buff-breasted Wren","BBRW","*","Thryothorus leucotis","THRLET","*"
1479,,"Plain Wren","PLWR",,"Thryothorus modestus","THRMOD",
1480,,"Bewick's Wren","BEWR",,"Thryomanes bewickii","THRBEW",
1481,,"Zapata Wren","ZAWR",,"Ferminia cerverai","FERCER",
1482,,"House Wren","HOWR",,"Troglodytes aedon","TROAED",
1483,"+","Southern House-Wren","SOHW",,"Troglodytes a. musculus","TROAMU",
1484,,"Socorro Wren","SOCW","*","Troglodytes sissonii","TROSIS",
1485,,"Clarion Wren","CLWR",,"Troglodytes tanneri","TROTAN",
1486,,"Rufous-browed Wren","RBWW","**","Troglodytes rufociliatus","TRORUC","*"
1487,,"Ochraceous Wren","OCWR",,"Troglodytes ochraceus","TROOCH",
1488,,"Winter Wren","WIWR",,"Troglodytes troglodytes","TROTRO",
1489,,"Sedge Wren","SEWR",,"Cistothorus platensis","CISPLA",
1490,,"Marsh Wren","MAWR",,"Cistothorus palustris","CISPAL",
1491,,"White-bellied Wren","WBWR",,"Uropsila leucogastra","UROLEU",
1492,,"Timberline Wren","TIWR",,"Thryorchilus browni","THRBRO",
1493,,"White-breasted Wood-Wren","WBWW",,"Henicorhina leucosticta","HENLES","*"
1494,,"Gray-breasted Wood-Wren","GBWW",,"Henicorhina leucophrys","HENLEP","*"
1495,,"Nightingale Wren","NIWR",,"Microcerculus philomela","MICPHI",
1496,,"Scaly-breasted Wren","SCBW","**","Microcerculus marginatus","MICMAR",
1497,,"Song Wren","SONW","*","Cyphorhinus phaeocephalus","CYPPHA",
1498,"+","Unidentified Wren","UNWR",,"Troglodytidae (gen, sp)","TRGGSP","**"
1499,,"American Dipper","AMDI",,"Cinclus mexicanus","CINMEX",
1500,,"Red-vented Bulbul","RVBU",,"Pycnonotus cafer","PYCCAF",
1501,,"Red-whiskered Bulbul","RWBU",,"Pycnonotus jocosus","PYCJOC",
1502,,"Golden-crowned Kinglet","GCKI",,"Regulus satrapa","REGSAT",
1503,,"Ruby-crowned Kinglet","RCKI",,"Regulus calendula","REGCAL",
1504,,"Japanese Bush-Warbler","JABW",,"Cettia diphone","CETDIP",
1505,,"Middendorff's Grasshopper-Warbler","MIGW",,"Locustella ochotensis","LOCOCH",
1506,,"Lanceolated Warbler","LANW","*","Locustella lanceolata","LOCLAN",
1507,,"Millerbird","MILL",,"Acrocephalus familiaris","ACRFAM",
1508,,"Willow Warbler","WILW","*","Phylloscopus trochilus","PHYTRO",
1509,,"Wood Warbler","WOWA",,"Phylloscopus sibilatrix","PHYSIB",
1510,,"Dusky Warbler","DUWA",,"Phylloscopus fuscatus","PHYFUS",
1511,,"Yellow-browed Warbler","YBWA",,"Phylloscopus inornatus","PHYINO",
1512,,"Arctic Warbler","ARWA",,"Phylloscopus borealis","PHYBOR",
1513,,"Lesser Whitethroat","LEWH",,"Sylvia curruca","SYLCUR",
1514,,"Tawny-faced Gnatwren","TFGN",,"Microbates cinereiventris","MICCIN",
1515,,"Long-billed Gnatwren","LBGN",,"Ramphocaenus melanurus","RAMMEL",
1516,,"Blue-gray Gnatcatcher","BGGN",,"Polioptila caerulea","POLCAE",
1517,,"Cuban Gnatcatcher","CUGN",,"Polioptila lembeyei","POLLEM",
1518,,"California Gnatcatcher","CAGN",,"Polioptila californica","POLCAL",
1519,,"Black-tailed Gnatcatcher","BTGN",,"Polioptila melanura","POLMEL",
1520,,"Black-capped Gnatcatcher","BCGN",,"Polioptila nigriceps","POLNIG",
1521,,"White-lored Gnatcatcher","WLGN",,"Polioptila albiloris","POLALB",
1522,,"Tropical Gnatcatcher","TRGN",,"Polioptila plumbea","POLPLU",
1523,,"Slate-throated Gnatcatcher","STGN",,"Polioptila schistaceigula","POLSCH",
1524,,"Narcissus Flycatcher","NAFL",,"Ficedula narcissina","FICNAR",
1525,,"Mugimaki Flycatcher","MUFL",,"Ficedula mugimaki","FICMUG",
1526,,"Taiga Flycatcher","TAFL",,"Ficedula albicilla","FICALB",
1527,,"Dark-sided Flycatcher","DSFL",,"Muscicapa sibirica","MUSSIB",
1528,,"Gray-streaked Flycatcher","GSFL",,"Muscicapa griseisticta","MUSGRI",
1529,,"Asian Brown Flycatcher","ABFL",,"Muscicapa dauurica","MUSDAU",
1530,,"Spotted Flycatcher","SPFL",,"Muscicapa striata","MUSSTR",
1531,,"Siberian Rubythroat","SIRU",,"Luscinia calliope","LUSCAL",
1532,,"Bluethroat","BLUE",,"Luscinia svecica","LUSSVE",
1533,,"Siberian Blue Robin","SBRO",,"Luscinia cyane","LUSCYA",
1534,,"Red-flanked Bluetail","RFBL",,"Tarsiger cyanurus","TARCYA",
1535,,"White-rumped Shama","WRSH",,"Copsychus malabaricus","COPMAL",
1536,,"Northern Wheatear","NOWH",,"Oenanthe oenanthe","OENOEN",
1537,,"Stonechat","STON",,"Saxicola torquatus","SAXTOR",
1538,,"Eastern Bluebird","EABL",,"Sialia sialis","SIASIA",
1539,,"Western Bluebird","WEBL",,"Sialia mexicana","SIAMEX",
1540,"+","Western X Mountain Bluebird Hybrid","WMBH",,"Sialia mex. x currucoid.","SIAMEC",
1541,,"Mountain Bluebird","MOBL",,"Sialia currucoides","SIACUR",
1542,,"Townsend's Solitaire","TOSO",,"Myadestes townsendi","MYATOW",
1543,,"Brown-backed Solitaire","BBSO",,"Myadestes occidentalis","MYAOCC",
1544,,"Cuban Solitaire","CUSO",,"Myadestes elisabeth","MYAELI",
1545,,"Rufous-throated Solitaire","RTSO",,"Myadestes genibarbis","MYAGEN",
1546,,"Black-faced Solitaire","BFSO",,"Myadestes melanops","MYAMEL",
1547,,"Varied Solitaire","VASO",,"Myadestes coloratus","MYACOL",
1548,,"Slate-colored Solitaire","SCSO",,"Myadestes unicolor","MYAUNI",
1549,,"Kamao","KAMA",,"Myadestes myadestinus","MYAMYA",
1550,,"Amaui","AMAU",,"Myadestes woahensis","MYAWOA",
1551,,"Olomao","OLOM",,"Myadestes lanaiensis","MYALAN",
1552,,"Omao","OMAO",,"Myadestes obscurus","MYAOBS",
1553,,"Puaiohi","PUAI",,"Myadestes palmeri","MYAPAL",
1554,,"Black-billed Nightingale-Thrush","BBNT",,"Catharus gracilirostris","CATGRA",
1555,,"Orange-billed Nightingale-Thrush","OBNT",,"Catharus aurantiirostris","CATAUN","*"
1556,,"Slaty-backed Nightingale-Thrush","SBNT",,"Catharus fuscater","CATFUT","*"
1557,,"Russet Nightingale-Thrush","RUNT",,"Catharus occidentalis","CATOCC",
1558,,"Ruddy-capped Nightingale-Thrush","RCNT",,"Catharus frantzii","CATFRA",
1559,,"Black-headed Nightingale-Thrush","BHNT",,"Catharus mexicanus","CASMEX","**"
1560,,"Spotted Nightingale-Thrush","SPNT",,"Catharus dryas","CATDRY",
1561,,"Veery","VEER",,"Catharus fuscescens","CATFUN","*"
1562,,"Gray-cheeked Thrush","GCTH",,"Catharus minimus","CATMIN",
1563,"+","Gray-cheeked/Bicknell's Thrush","GCBT",,"Catharus minimus x bickn.","CATMIB",
1564,,"Bicknell's Thrush","BITH",,"Catharus bicknelli","CATBIC",
1565,,"Swainson's Thrush","SWTH",,"Catharus ustulatus","CATUST",
1566,,"Hermit Thrush","HETH",,"Catharus guttatus","CATGUT",
1567,,"Wood Thrush","WOTH",,"Hylocichla mustelina","HYLMUS",
1568,"+","Unidentified Thrush","UNTH",,"Turdidae (gen, sp)","TURGSP",
1569,,"Eurasian Blackbird","EUBL",,"Turdus merula","TURMER",
1570,,"Eyebrowed Thrush","EYTH",,"Turdus obscurus","TUROBC","*"
1571,,"Dusky Thrush","DUTH",,"Turdus naumanni","TURNAU",
1572,,"Fieldfare","FIEL",,"Turdus pilaris","TURPIL",
1573,,"Redwing","REDW",,"Turdus iliacus","TURILI",
1574,,"Sooty Robin","SORO",,"Turdus nigrescens","TURNIG",
1575,,"Black Robin","BLRO",,"Turdus infuscatus","TURINF",
1576,,"Mountain Robin","MORO",,"Turdus plebejus","TURPLE",
1577,,"Cocoa Thrush","COCT","*","Turdus fumigatus","TURFUM",
1578,,"Pale-vented Thrush","PVTH",,"Turdus obsoletus","TUROBL","*"
1579,,"Clay-colored Robin","CCRO",,"Turdus grayi","TURGRA",
1580,,"Bare-eyed Robin","BERO",,"Turdus nudigenis","TURNUD",
1581,,"White-eyed Thrush","WETH",,"Turdus jamaicensis","TURJAM",
1582,,"White-throated Robin","WTRO",,"Turdus assimilis","TURASS",
1583,,"Rufous-backed Robin","RBRO",,"Turdus rufopalliatus","TURRUP","*"
1584,,"Rufous-collared Robin","RCRO",,"Turdus rufitorques","TURRUT","*"
1585,,"American Robin","AMRO",,"Turdus migratorius","TURMIG",
1586,,"La Selle Thrush","LSTH",,"Turdus swalesi","TURSWA",
1587,,"White-chinned Thrush","WCTH",,"Turdus aurantius","TURAUR",
1588,,"Grand Cayman Thrush","GCAT","*","Turdus ravidus","TURRAV",
1589,,"Red-legged Thrush","RLTH",,"Turdus plumbeus","TURPLU",
1590,,"Forest Thrush","FOTH",,"Cichlherminia lherminieri","CICLHE",
1591,,"Varied Thrush","VATH",,"Ixoreus naevius","IXONAE",
1592,,"Aztec Thrush","AZTH",,"Ridgwayia pinicola","RIDPIN",
1593,,"Greater Necklaced Laughingthrush","GNLA",,"Garrulax pectoralis","GARPEC",
1594,,"Hwamei","HWAM",,"Garrulax canorus","GARCAN",
1595,,"Red-billed Leiothrix","RBLE",,"Leiothrix lutea","LEILUT",
1596,,"Wrentit","WREN",,"Chamaea fasciata","CHAFAS",
1597,,"Japanese White-eye","JAWE",,"Zosterops japonicus","ZOSJAP",
1598,,"Gray Catbird","GRCA",,"Dumetella carolinensis","DUMCAR",
1599,,"Black Catbird","BLCA",,"Melanoptila glabrirostris","MELGLA",
1600,,"Northern Mockingbird","NOMO",,"Mimus polyglottos","MIMPOL",
1601,,"Tropical Mockingbird","TRMO",,"Mimus gilvus","MIMGIL",
1602,,"Socorro Mockingbird","SOMO",,"Mimus graysoni","MIMGRA",
1603,,"Bahama Mockingbird","BAMO",,"Mimus gundlachii","MIMGUN",
1604,,"Sage Thrasher","SATH",,"Oreoscoptes montanus","OREMON",
1605,,"Brown Thrasher","BRTH",,"Toxostoma rufum","TOXRUF",
1606,,"Long-billed Thrasher","LBTH",,"Toxostoma longirostre","TOXLON",
1607,,"Cozumel Thrasher","COZT","*","Toxostoma guttatum","TOXGUT",
1608,,"Gray Thrasher","GRAT","*","Toxostoma cinereum","TOXCIN",
1609,,"Bendire's Thrasher","BETH",,"Toxostoma bendirei","TOXBEN",
1610,,"Ocellated Thrasher","OCTH",,"Toxostoma ocellatum","TOXOCE",
1611,,"Curve-billed Thrasher","CBTH",,"Toxostoma curvirostre","TOXCUR",
1612,,"California Thrasher","CATH",,"Toxostoma redivivum","TOXRED",
1613,,"Crissal Thrasher","CRTH",,"Toxostoma crissale","TOXCRI",
1614,,"Le Conte's Thrasher","LCTH",,"Toxostoma lecontei","TOXLEC",
1615,,"White-breasted Thrasher","WBTH",,"Ramphocinclus brachyurus","RAMBRA",
1616,,"Blue Mockingbird","BLMO",,"Melanotis caerulescens","MELCAE",
1617,,"Blue-and-white Mockingbird","BAWM",,"Melanotis hypoleucus","MELHYC","*"
1618,,"Scaly-breasted Thrasher","SBTH",,"Allenia fuscus","ALLFUC",
1619,,"Pearly-eyed Thrasher","PETH",,"Margarops fuscatus","MARFUS",
1620,,"Brown Trembler","BRTR",,"Cinclocerthia ruficauda","CINRUF",
1621,,"Gray Trembler","GRTR",,"Cinclocerthia gutturalis","CINGUT",
1622,,"European Starling","EUST",,"Sturnus vulgaris","STUVUL",
1623,,"Common Myna","COMY",,"Acridotheres tristis","ACRTRI",
1624,,"Hill Myna","HIMY",,"Gracula religiosa","GRAREL",
1625,,"Siberian Accentor","SIAC",,"Prunella montanella","PRUMON",
1626,,"Eastern Yellow Wagtail","EYWA","**","Motacilla tschutschensis","MOTTSC",
1627,,"Citrine Wagtail","CIWA",,"Motacilla citreola","MOTCIT",
1628,,"Gray Wagtail","GRAW","*","Motacilla cinerea","MOTCIN",
1629,,"White Wagtail","WHWA",,"Motacilla alba","MOTALB",
1630,,"Tree Pipit","TRPI",,"Anthus trivialis","ANTTRI",
1631,,"Olive-backed Pipit","OBPI",,"Anthus hodgsoni","ANTHOD",
1632,,"Pechora Pipit","PEPI",,"Anthus gustavi","ANTGUS",
1633,,"Red-throated Pipit","RTPI",,"Anthus cervinus","ANTCER",
1634,,"American Pipit","AMPI",,"Anthus rubescens","ANTRUB",
1635,,"Sprague's Pipit","SPPI",,"Anthus spragueii","ANTSPR",
1636,,"Yellowish Pipit","YEPI",,"Anthus lutescens","ANTLUT",
1637,,"Bohemian Waxwing","BOWA",,"Bombycilla garrulus","BOMGAR",
1638,,"Cedar Waxwing","CEDW","*","Bombycilla cedrorum","BOMCED",
1639,,"Black-and-yellow Silky-flycatcher","BAYS",,"Phainoptila melanoxantha","PHAMEL",
1640,,"Gray Silky-flycatcher","GRSF",,"Ptilogonys cinereus","PTICIN",
1641,,"Long-tailed Silky-flycatcher","LTSF",,"Ptilogonys caudatus","PTICAU",
1642,,"Phainopepla","PHAI",,"Phainopepla nitens","PHANIT",
1643,,"Palmchat","PALM",,"Dulus dominicus","DULDOM",
1644,,"Olive Warbler","OLWA",,"Peucedramus taeniatus","PEUTAE",
1645,,"Bachman's Warbler","BAWA",,"Vermivora bachmanii","VERBAC",
1646,,"Blue-winged Warbler","BWWA",,"Vermivora pinus","VERPIN",
1647,"+","Brewster's Warbler","BRWA",,"Vermivora pinus x chrysopt.","VERPIC",
1648,"+","Lawrence's Warbler","LAWA",,"Vermivora pinus x chrysopt.","VERPCH",
1649,,"Golden-winged Warbler","GWWA",,"Vermivora chrysoptera","VERCHR",
1650,,"Tennessee Warbler","TEWA",,"Vermivora peregrina","VERPER",
1651,,"Orange-crowned Warbler","OCWA",,"Vermivora celata","VERCEL",
1652,,"Nashville Warbler","NAWA",,"Vermivora ruficapilla","VERRUF",
1653,,"Virginia's Warbler","VIWA",,"Vermivora virginiae","VERVIR",
1654,,"Colima Warbler","COLW","*","Vermivora crissalis","VERCRI",
1655,,"Lucy's Warbler","LUWA",,"Vermivora luciae","VERLUC",
1656,,"Flame-throated Warbler","FTHW","*","Parula gutturalis","PARGUT",
1657,,"Crescent-chested Warbler","CCWA",,"Parula superciliosa","PARSUP",
1658,,"Northern Parula","NOPA",,"Parula americana","PARAME",
1659,,"Tropical Parula","TRPA",,"Parula pitiayumi","PARPIT",
1660,,"Yellow Warbler","YWAR","**","Dendroica petechia","DENPET",
1661,,"Chestnut-sided Warbler","CSWA",,"Dendroica pensylvanica","DENPEN",
1662,,"Magnolia Warbler","MAWA",,"Dendroica magnolia","DENMAG",
1663,,"Cape May Warbler","CMWA",,"Dendroica tigrina","DENTIG",
1664,,"Black-throated Blue Warbler","BTBW",,"Dendroica caerulescens","DENCAE",
1665,,"Yellow-rumped Warbler","YRWA",,"Dendroica coronata","DENCOR",
1666,"+","Myrtle Warbler","MYWA",,"Dendroica c. coronata","DENCCO",
1667,"+","Audubon's Warbler","AUWA",,"Dendroica c. auduboni","DENCAU",
1668,,"Black-throated Gray Warbler","BTYW","**","Dendroica nigrescens","DENNIG",
1669,,"Golden-cheeked Warbler","GCWA",,"Dendroica chrysoparia","DENCHR",
1670,,"Black-throated Green Warbler","BTNW","**","Dendroica virens","DENVIR",
1671,,"Townsend's Warbler","TOWA",,"Dendroica townsendi","DENTOW",
1672,"+","Townsend's x Hermit Warbler Hybrid","THWH",,"Dendroica townsendi x occi.","DENTOO",
1673,,"Hermit Warbler","HEWA",,"Dendroica occidentalis","DENOCC",
1674,,"Blackburnian Warbler","BLBW","**","Dendroica fusca","DENFUS",
1675,,"Yellow-throated Warbler","YTWA",,"Dendroica dominica","DENDOM",
1676,"+","Sutton's Warbler","SUWA",,"Parula amer. X Dendroica domi.","PAMDDO",
1677,,"Grace's Warbler","GRWA",,"Dendroica graciae","DENGRA",
1678,,"Adelaide's Warbler","ADWA",,"Dendroica adelaidae","DENADE",
1679,,"Barbuda Warbler","BARW","*","Dendroica subita","DENSUB",
1680,,"St. Lucia Warbler","SLWA",,"Dendroica delicata","DENDEL",
1681,,"Olive-capped Warbler","OCAW","*","Dendroica pityophila","DENPIT",
1682,,"Pine Warbler","PIWA",,"Dendroica pinus","DENPIN",
1683,,"Kirtland's Warbler","KIWA",,"Dendroica kirtlandii","DENKIR",
1684,,"Prairie Warbler","PRAW","*","Dendroica discolor","DENDIS",
1685,,"Vitelline Warbler","VITW","*","Dendroica vitellina","DENVIT",
1686,,"Palm Warbler","PAWA",,"Dendroica palmarum","DENPAL",
1687,"+","Western Palm Warbler","WPWA",,"Dendroica p. palmarum","DENPPA",
1688,"+","Yellow Palm Warbler","YPWA",,"Dendroica p. hypochrysea","DENPHY",
1689,,"Bay-breasted Warbler","BBWA",,"Dendroica castanea","DENCAS",
1690,,"Blackpoll Warbler","BLPW","**","Dendroica striata","DENSTR",
1691,,"Cerulean Warbler","CERW","*","Dendroica cerulea","DENCER",
1692,,"Plumbeous Warbler","PLWA",,"Dendroica plumbea","DENPLU",
1693,,"Arrowhead Warbler","ARRW","*","Dendroica pharetra","DENPHA",
1694,,"Elfin-woods Warbler","EWWA",,"Dendroica angelae","DENANG",
1695,,"Whistling Warbler","WHIW","*","Catharopeza bishopi","CATBIS",
1696,,"Black-and-white Warbler","BAWW",,"Mniotilta varia","MNIVAR",
1697,,"American Redstart","AMRE",,"Setophaga ruticilla","SETRUT",
1698,,"Prothonotary Warbler","PROW","*","Protonotaria citrea","PROCIT",
1699,,"Worm-eating Warbler","WEWA",,"Helmitheros vermivorum","HELVER",
1700,,"Swainson's Warbler","SWWA",,"Limnothlypis swainsonii","LIMSWA",
1701,,"Ovenbird","OVEN",,"Seiurus aurocapilla","SEIAUR",
1702,,"Northern Waterthrush","NOWA",,"Seiurus noveboracensis","SEINOV",
1703,,"Louisiana Waterthrush","LOWA",,"Seiurus motacilla","SEIMOT",
1704,,"Kentucky Warbler","KEWA",,"Oporornis formosus","OPOFOR",
1705,,"Connecticut Warbler","CONW","*","Oporornis agilis","OPOAGI",
1706,,"Mourning Warbler","MOWA",,"Oporornis philadelphia","OPOPHI",
1707,,"MacGillivray's Warbler","MGWA",,"Oporornis tolmiei","OPOTOL",
1708,,"Common Yellowthroat","COYE",,"Geothlypis trichas","GEOTRI",
1709,,"Belding's Yellowthroat","BEYE",,"Geothlypis beldingi","GEOBEL",
1710,,"Altamira Yellowthroat","ALYE",,"Geothlypis flavovelata","GEOFLA",
1711,,"Bahama Yellowthroat","BAYE",,"Geothlypis rostrata","GEOROS",
1712,,"Olive-crowned Yellowthroat","OCYE",,"Geothlypis semiflava","GEOSEM",
1713,,"Black-polled Yellowthroat","BPYE",,"Geothlypis speciosa","GEOSPE",
1714,,"Hooded Yellowthroat","HOYE",,"Geothlypis nelsoni","GEONEL",
1715,,"Masked Yellowthroat","MAYE",,"Geothlypis aequinoctialis","GEOAEQ",
1716,,"Gray-crowned Yellowthroat","GCYE",,"Geothlypis poliocephala","GEOPOL",
1717,,"Green-tailed Warbler","GTWA",,"Microligea palustris","MICPAL",
1718,,"Yellow-headed Warbler","YHWA",,"Teretistris fernandinae","TERFER",
1719,,"Oriente Warbler","ORWA",,"Teretistris fornsi","TERFOR",
1720,,"Semper's Warbler","SEWA",,"Leucopeza semperi","LEUSER","*"
1721,,"Hooded Warbler","HOWA",,"Wilsonia citrina","WILCIT",
1722,,"Wilson's Warbler","WIWA",,"Wilsonia pusilla","WILPUS",
1723,,"Canada Warbler","CAWA",,"Wilsonia canadensis","WILCAN",
1724,,"Red-faced Warbler","RFWA",,"Cardellina rubrifrons","CARRUB",
1725,,"Red Warbler","REWA",,"Ergaticus ruber","ERGRUB",
1726,,"Pink-headed Warbler","PHWA",,"Ergaticus versicolor","ERGVER",
1727,,"Painted Redstart","PARE",,"Myioborus pictus","MYIPIC",
1728,,"Slate-throated Redstart","STRE",,"Myioborus miniatus","MYIMIN",
1729,,"Collared Redstart","COLR","*","Myioborus torquatus","MYITOR",
1730,,"Fan-tailed Warbler","FTWA",,"Euthlypis lachrymosa","EUTLAC",
1731,,"Golden-crowned Warbler","GCRW","*","Basileuterus culicivorus","BASCUL",
1732,,"Rufous-capped Warbler","RCWA",,"Basileuterus rufifrons","BASRUF",
1733,,"Golden-browed Warbler","GBWA",,"Basileuterus belli","BASBEL",
1734,,"Black-cheeked Warbler","BCWA",,"Basileuterus melanogenys","BASMEL",
1735,,"Pirre Warbler","PIRW","*","Basileuterus ignotus","BASIGN",
1736,,"Three-striped Warbler","TSWA",,"Basileuterus tristriatus","BASTRI",
1737,,"Buff-rumped Warbler","BURW","**","Phaeothlypis fulvicauda","PHAFUV","*"
1738,,"Wrenthrush","WRET","*","Zeledonia coronata","ZELCOR",
1739,,"Yellow-breasted Chat","YBCH",,"Icteria virens","ICTVIR",
1740,,"Red-breasted Chat","RBRC","*","Granatellus venustus","GRAVEN",
1741,,"Gray-throated Chat","GTCH",,"Granatellus sallaei","GRASAL",
1742,,"White-winged Warbler","WWWA",,"Xenoligea montana","XENMON",
1743,"+","Unidentified Warbler","UNWA",,"Parulidae (gen, sp)","PARGSP",
1744,,"Bananaquit","BANA",,"Coereba flaveola","COEFLA",
1745,,"White-eared Conebill","WECO",,"Conirostrum leucogenys","CONLEU",
1746,,"Puerto Rican Tanager","PRTA",,"Nesospingus speculiferus","NESSPE",
